sha,message,author,date,url,code_size,source_files
babcbcd04fd5605634855f621b8558afc5cbc515,"Update most URLs to docs.github.com (#1896)

Now that GitHub have moved their documentation from
developer.github.com, we should update our links. I have also tried to
update the call strings to their new format, but since it was done via
regex, some of them may not match exactly.",s-t-e-v-e-n-k,03/26/2021 09:43:48 AM,https://api.github.com/repos/PyGithub/PyGithub/commits/babcbcd04fd5605634855f621b8558afc5cbc515,1955576,332
ad124ef4810f8766d59723c51fe04d54951d9a33,"key_id could be int on Github Enterprise (#1894)

* PublicKey.key_id can also be int, as well as str

Fixes #1878",MeggyCal,03/26/2021 09:31:17 AM,https://api.github.com/repos/PyGithub/PyGithub/commits/ad124ef4810f8766d59723c51fe04d54951d9a33,1949791,332
2c77cfad5626264f7a511ee8489ceb3315f0abae,"Adjust to Github API changes regarding emails (#1890)

Handle AuthenticatedUser.get_emails() correctly with the GitHub API changes.

Fixes #1852",MeggyCal,03/24/2021 10:30:01 AM,https://api.github.com/repos/PyGithub/PyGithub/commits/2c77cfad5626264f7a511ee8489ceb3315f0abae,1949174,332
5aab6f5dc2693171b54368ca32a9c869fb2be74b,"Tighten asserts for new Permission tests (#1893)

The recently merged code checking attributes on Permissions overeagerly
used assertEqual for everything, switch to the more appropriate methods.",s-t-e-v-e-n-k,03/24/2021 03:39:58 AM,https://api.github.com/repos/PyGithub/PyGithub/commits/5aab6f5dc2693171b54368ca32a9c869fb2be74b,1948590,332
76879613fa1f2184915f5453b43312541366bcf8,"Adding attributes ""maintain"" and ""triage"" to class ""Permissions"" (#1810)

* Adding attributes ""maintain"" and ""triage"" to class ""github.Permissions.Permissions""

* Fix for failed test due to extended attribute list

* Adding new simplistic test case for class Permissions

Fixes #1809",karsten-wagner,03/24/2021 03:27:14 AM,https://api.github.com/repos/PyGithub/PyGithub/commits/76879613fa1f2184915f5453b43312541366bcf8,1948617,332
7d6bac9e4df05c8eff64e4d991ae119e31a04d08,"Add default arguments to Workflow method type annotations (#1857)

The type annotations for Workflow.create_dispatch() and Workflow.get_runs() do not
include the fact that some of the arguments have default values",jwodder,03/24/2021 02:58:42 AM,https://api.github.com/repos/PyGithub/PyGithub/commits/7d6bac9e4df05c8eff64e4d991ae119e31a04d08,1944980,331
916da53bef20b0ffa221ba8f2f5c28f30c27a578,"Re-raise the exception when failing to parse JSON (#1892)

Since GitHub has the bad manners to return bare strings for some API
endpoints, one sharp edge has been that JSON decoding errors were masked
since we wrap the string in a dictionary. However, this makes it
difficult to debug malformed JSON in replay data, so re-raise the
exception if the first character is a { or [ (IE, it's an object or
list.)",s-t-e-v-e-n-k,03/24/2021 02:56:54 AM,https://api.github.com/repos/PyGithub/PyGithub/commits/916da53bef20b0ffa221ba8f2f5c28f30c27a578,1944950,331
0245b758ca323dfa18cd7910d50300ca42514999,"Allow adding attributes at the end of the list (#1807)

* Allow adding attributes at the end of the list / fix for issue #1806

* Update as per review comments",karsten-wagner,03/23/2021 11:18:04 PM,https://api.github.com/repos/PyGithub/PyGithub/commits/0245b758ca323dfa18cd7910d50300ca42514999,1944685,331
c27fb91966840d2908123eeba5cef610b7ec9f7f,"Updating links to Github documentation for deploy keys (#1850)

* Updating links to Github documentation for deploy keys

There are a couple of links to http://developer.github.com/v3/repos/keys/ and I believe these should be going to http://developer.github.com/v3/repos/#deploy-keys. I've updated the docstrings in this file appropriately.",fhightower,03/23/2021 11:17:28 PM,https://api.github.com/repos/PyGithub/PyGithub/commits/c27fb91966840d2908123eeba5cef610b7ec9f7f,1944647,331
a68577b76abe582153424540f83790d45064dd65,"Update PyJWT Version to 2.0+ (#1891)

* Update PyJWT version
* Fix `GitRelease.testUploadAssetWithName` test
  MIME type wasn't as expected

Fixes #1832",samamorgan,03/23/2021 11:14:35 PM,https://api.github.com/repos/PyGithub/PyGithub/commits/a68577b76abe582153424540f83790d45064dd65,1944608,331
