sha,message,author,date,url,code_size,source_files
481e267fb1f98d352e86efa17a7f5ff7485852e4,"Include matplotlibrc from _static

It may not be in lib unless matplotlib has been build from source here",jenshnielsen,06/15/2016 06:45:19 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/481e267fb1f98d352e86efa17a7f5ff7485852e4,6080928,327
f99c93fe0083fd23f308a86527fa3a7b212ae8c8,Change python references in docs to a version that we support,jenshnielsen,06/15/2016 06:46:05 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/f99c93fe0083fd23f308a86527fa3a7b212ae8c8,6080928,327
db3316a33e1cc34dadc8f0aec28adb5ce6cec140,Remove no longer existing example from backend_driver,jenshnielsen,06/15/2016 06:48:07 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/db3316a33e1cc34dadc8f0aec28adb5ce6cec140,6080928,327
b55563eda6f091ffeb09e2c6d2547c2e80b2e76c,"Merge pull request #6585 from jenshnielsen/smalldocfixes

Small fixes to docs",WeatherGod,06/15/2016 03:44:15 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/b55563eda6f091ffeb09e2c6d2547c2e80b2e76c,6080928,327
7ba5c1fd5fe40f3db728b16939e0c35ddea0572d,Merge remote-tracking branch 'matplotlib/v2.x',jenshnielsen,06/15/2016 03:51:50 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/7ba5c1fd5fe40f3db728b16939e0c35ddea0572d,6092821,334
001ea2506c3d7cadb2f77ad75fc9eb480c5e4fb9,"Merge pull request #6584 from efiring/min_num_ticks2

FIX: try to ensure 2 ticks with AutoLocator.",tacaswell,06/15/2016 08:03:51 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/001ea2506c3d7cadb2f77ad75fc9eb480c5e4fb9,6080928,327
af77c85875d69112c40fe4ab699a5687e0898b63,Merge remote-tracking branch 'matplotlib/v2.x',tacaswell,06/15/2016 08:59:38 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/af77c85875d69112c40fe4ab699a5687e0898b63,6092821,334
d7ca8478b1bfd52d161f5d93326ced2c13d35aad,Don't install ghostscript and inkscape on osx,jenshnielsen,06/16/2016 02:12:51 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/d7ca8478b1bfd52d161f5d93326ced2c13d35aad,6092807,334
7a25978f10217f47065fcba2b3f73906dfffcad3,Use ccache on OSX,jenshnielsen,06/16/2016 02:21:18 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/7a25978f10217f47065fcba2b3f73906dfffcad3,6092807,334
cd778db53bf0bbe004a601bc44b58fad2bff3052,Added a new example to create error boxes using a PatchCollection,tmdavison,06/16/2016 03:24:01 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/cd778db53bf0bbe004a601bc44b58fad2bff3052,6092821,334
