sha,message,author,date,url,code_size
3f26159d57010800c044a95c67d5ef78e63612c3,"texmanager now calls latex instead of tex, which allows some more advanced
layout. Fixed horizontal layout in backend_latex.

svn path=/trunk/matplotlib/; revision=1358",ddale,05/22/2005 04:02:24 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/3f26159d57010800c044a95c67d5ef78e63612c3,11235377
ca5d67d1fbfc0bf537ee783b1c6b76b29792e554,"NewScalarFormatter bugfix for determining offset

svn path=/trunk/matplotlib/; revision=1357",ddale,05/22/2005 03:53:07 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/ca5d67d1fbfc0bf537ee783b1c6b76b29792e554,11235073
73480ea5eff913b89bf8f31f577cb605f5fad400,"added JG autolegend patch

svn path=/trunk/matplotlib/; revision=1355",jdh2358,05/20/2005 04:18:34 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/73480ea5eff913b89bf8f31f577cb605f5fad400,11235067
288ac83ff341335107bcdabe279ed5504154857b,"added linewidth and facted to scatter

svn path=/trunk/matplotlib/; revision=1354",jdh2358,05/20/2005 04:10:39 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/288ac83ff341335107bcdabe279ed5504154857b,11233002
67d39ecbc1104691bfdff090cb3de79f11f7bc53,"fixed color bug 1205711

svn path=/trunk/matplotlib/; revision=1353",jdh2358,05/20/2005 03:12:34 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/67d39ecbc1104691bfdff090cb3de79f11f7bc53,11232180
b8dcc07155f0f78c952eda956761b59bf3bb7d9c,"fixed texmanager

svn path=/trunk/matplotlib/; revision=1352",jdh2358,05/19/2005 10:09:04 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/b8dcc07155f0f78c952eda956761b59bf3bb7d9c,11232180
73d791dde331c87fb4280d5d93de2eee68467352,"SC

svn path=/trunk/matplotlib/; revision=1351",N/A,05/18/2005 06:51:35 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/73d791dde331c87fb4280d5d93de2eee68467352,11223850
f20cff570aa6741e72ccd195aa6a1d995f2b194c,"added psfrag latex backend

svn path=/trunk/matplotlib/; revision=1349",jdh2358,05/17/2005 10:30:47 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/f20cff570aa6741e72ccd195aa6a1d995f2b194c,11223556
9dcfadb6e4daa9c03fa591adf64190a5bc5eac03,"added psfrag latex backend

svn path=/trunk/matplotlib/; revision=1348",jdh2358,05/17/2005 10:15:10 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/9dcfadb6e4daa9c03fa591adf64190a5bc5eac03,11223477
5c961f72a68ac75e4e6a24d7792110fb0d8be931,"coerce args for bitmap.SetWidth/SetHeight to be ints in PrintoutWx.OnPrintPage

svn path=/trunk/matplotlib/; revision=1346",newville,05/17/2005 09:04:09 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/5c961f72a68ac75e4e6a24d7792110fb0d8be931,11214376
4f52d1857417b507084b07b8817102cd1608d08d,"pcolor optimization

svn path=/trunk/matplotlib/; revision=1340",jswhit,05/17/2005 04:08:13 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/4f52d1857417b507084b07b8817102cd1608d08d,11214358
dfeb83e6b6dc6e72c8c19a55ffea0475704df542,"pcolor optimization - my tests show it's 2-3 times faster.
Fixed bug is previous patch.

svn path=/trunk/matplotlib/; revision=1339",jswhit,05/17/2005 04:05:02 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/dfeb83e6b6dc6e72c8c19a55ffea0475704df542,11214281
281b7b78f5d54c435c1a560563bcdb8e316faece,"added additional tex files

svn path=/trunk/matplotlib/; revision=1323",jdh2358,05/16/2005 03:04:26 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/281b7b78f5d54c435c1a560563bcdb8e316faece,11213911
44b35539f218b1a3dff2799e22095f0090906987,"Added masked array support in pcolor.

svn path=/trunk/matplotlib/; revision=1322",jswhit,05/16/2005 11:44:18 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/44b35539f218b1a3dff2799e22095f0090906987,11212946
8ec93ed46845de65870c776a6d22c7a54556f9a7,"fixed a axes label bug

svn path=/trunk/matplotlib/; revision=1310",jdh2358,05/12/2005 08:50:40 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/8ec93ed46845de65870c776a6d22c7a54556f9a7,11212266
dcb2a047480b426b7f03f94fda37baf7bcab4f5d,"cleaned up agg wrapper

svn path=/trunk/matplotlib/; revision=1309",jdh2358,05/12/2005 08:03:44 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/dcb2a047480b426b7f03f94fda37baf7bcab4f5d,11212306
19ae1934a087ebb9c73d23d841ea3db929fce294,"cleaned up agg wrapper

svn path=/trunk/matplotlib/; revision=1308",jdh2358,05/12/2005 07:16:35 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/19ae1934a087ebb9c73d23d841ea3db929fce294,11210179
e959554b63a64bd94a81dc0ed45385c7b547e4b6,"fixed a nearest neighbor interp bug

svn path=/trunk/matplotlib/; revision=1307",jdh2358,05/11/2005 08:19:06 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/e959554b63a64bd94a81dc0ed45385c7b547e4b6,10894625
77a9d55ea1f70a7458617b6fefec564c0575309a,"applied Erics contour memleak fixes

svn path=/trunk/matplotlib/; revision=1295",jdh2358,05/10/2005 07:12:53 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/77a9d55ea1f70a7458617b6fefec564c0575309a,10891451
3e9d6eedfd261d58e794387dc6b5cf7481c484e9,"cleaned up some agg files

svn path=/trunk/matplotlib/; revision=1288",jdh2358,05/09/2005 10:28:12 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/3e9d6eedfd261d58e794387dc6b5cf7481c484e9,10885872
65467e03d7984ef199bc77c8143f2a97e5741192,"added some agg files

svn path=/trunk/matplotlib/; revision=1287",jdh2358,05/09/2005 10:24:10 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/65467e03d7984ef199bc77c8143f2a97e5741192,10885967
854069db08ce77095166f5a42d70f9af3b6ad978,"upgraded to agg23

svn path=/trunk/matplotlib/; revision=1286",jdh2358,05/09/2005 10:19:55 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/854069db08ce77095166f5a42d70f9af3b6ad978,7820005
24e4a329f9c6e4ded9f7fd433935b0ac75eb67f4,"fixed a bug in call to font.get_kerning()

svn path=/trunk/matplotlib/; revision=1275",ddale,05/08/2005 08:43:29 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/24e4a329f9c6e4ded9f7fd433935b0ac75eb67f4,7819196
04f08ab1b4424f9ad3fd01a4b7adb4914fdd02c2,"Minor fix to NewScalarFormatter

svn path=/trunk/matplotlib/; revision=1272",ddale,05/07/2005 03:04:11 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/04f08ab1b4424f9ad3fd01a4b7adb4914fdd02c2,7819145
c39af7e029c57d824becaea8038cab3394e2563a,"Minor tweaks to the new scalar formatter: changed formatting for ""0"", fixed
two floating point inaccuracy problems.

svn path=/trunk/matplotlib/; revision=1271",ddale,05/06/2005 11:11:51 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/c39af7e029c57d824becaea8038cab3394e2563a,7819151
82e1cb419c8c19a8ce96714403b368fd07144f59,"Minor speed improvement for NewScalarFormatter

svn path=/trunk/matplotlib/; revision=1263",ddale,05/06/2005 01:45:09 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/82e1cb419c8c19a8ce96714403b368fd07144f59,7819107
9ef60276e88891db55c09f7f3255d5d4829fa0bd,"added newscalarformatter

svn path=/trunk/matplotlib/; revision=1262",ddale,05/05/2005 04:12:21 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/9ef60276e88891db55c09f7f3255d5d4829fa0bd,7819036
bd79323d3bd6c688f88f428371593137ecbc4a92,"Fixed a bug in NewScalarFormatter, added lin_collection.py example to
backend_driver.py, added newscalarformatter_demo.py to examples.

svn path=/trunk/matplotlib/; revision=1261",ddale,05/05/2005 04:04:35 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/bd79323d3bd6c688f88f428371593137ecbc4a92,7819074
cf3fab941cd566b3c918591ea6d86687394b848d,"Removed a debugging statement that I overlooked last night.

svn path=/trunk/matplotlib/; revision=1260",ddale,05/05/2005 02:10:06 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/cf3fab941cd566b3c918591ea6d86687394b848d,7815975
7037b4cfd5dbe0050848284edefda7e73d15d69d,"Fixed 2 bugs in NewScalarFormatter, cleaned up some code in axis.py per JDH
request. Improved placement of offset_text, added support for mathtext
rendering of offset_text.

svn path=/trunk/matplotlib/; revision=1259",ddale,05/05/2005 03:25:14 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/7037b4cfd5dbe0050848284edefda7e73d15d69d,7816008
d39c2064fdd830a3d78266f86907378cd77c8482,"Added the option to specify a delimter in pylab.load.

svn path=/trunk/matplotlib/; revision=1254",ddale,05/03/2005 08:27:23 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/d39c2064fdd830a3d78266f86907378cd77c8482,7813469
2a83c96e1e7f49303d4ecda68b412d432163a3d4,"Added a new ScalarFormatter called NewScalarFormatter. It will eventually
replace the old one.

svn path=/trunk/matplotlib/; revision=1250",ddale,05/02/2005 11:40:10 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/2a83c96e1e7f49303d4ecda68b412d432163a3d4,7813136
a84809b189eec6a96370dbe05e00b6d6dc2b4976,"fixed a bbox_artist pad bug

svn path=/trunk/matplotlib/; revision=1249",jdh2358,05/02/2005 06:41:45 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/a84809b189eec6a96370dbe05e00b6d6dc2b4976,7807330
