sha,message,author,date,url,code_size
9edee8c5a1639e68b399a04ad3e69e9d2fd808d2,DOC: fix typos,tacaswell,09/21/2016 11:49:10 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/9edee8c5a1639e68b399a04ad3e69e9d2fd808d2,83845675
db59e816c19a3ca39abdf6d38353561d6f3fa5e9,"Merge pull request #7153 from efiring/DOC_log_locator_auto_N

DOC: entries for the new kwarg and behavior of LogLocator",NelleV,09/21/2016 08:55:12 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/db59e816c19a3ca39abdf6d38353561d6f3fa5e9,83845594
90d890a22a5bd4c216e94fd7a8b9526f79070fba,"DOC: entries for the new kwarg and behavior of LogLocator

This is a follow-up to #7126, 6741ddf.",efiring,09/21/2016 07:21:46 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/90d890a22a5bd4c216e94fd7a8b9526f79070fba,83845594
0602dfa353829d9e30d65401971545d7e9936f53,Fixed colors,rougier,09/21/2016 07:07:27 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/0602dfa353829d9e30d65401971545d7e9936f53,84029015
fa8531bf3d52097a94c4a2ff4733619edc6da88b,Added firefox example,rougier,09/21/2016 07:00:39 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/fa8531bf3d52097a94c4a2ff4733619edc6da88b,84029106
c019c7beb47db65ac139ba41e05dff02d7d4a103,DOC: document how to backport a PR,tacaswell,09/21/2016 02:48:31 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/c019c7beb47db65ac139ba41e05dff02d7d4a103,83845646
f6f9c8c599952d860d64a766b4fc5209de4b2823,"DOC: add review guidelines

Documenting the status-quo",tacaswell,09/21/2016 02:48:26 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/f6f9c8c599952d860d64a766b4fc5209de4b2823,83844928
248288ab74337a911ba16a6f2c15265a45728b46,"Revert ""DOC: remove pdf link""

This reverts commit 2885e98b6250a26cd77fd145aa8df6aa02159ce2.",tacaswell,09/21/2016 01:51:47 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/248288ab74337a911ba16a6f2c15265a45728b46,78809108
d2d9d7d308145181379ea7c8439ff8fb2f5dcf9b,"Merge pull request #7019 from dmkent/fix-suptitle-fontproperties

Check for fontproperties in figure.suptitle.",NelleV,09/21/2016 12:48:42 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/d2d9d7d308145181379ea7c8439ff8fb2f5dcf9b,84152744
5c548e53d99b8da762d6b38177614c8aa1cc8748,"Add `style` to api doc; fix capitalization.

All other sections use a lowercase title.  Also mention `legend_handler`
in the title for the `legend` api doc as they are in the same file.",anntzer,09/21/2016 12:10:13 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/5c548e53d99b8da762d6b38177614c8aa1cc8748,78809070
5f352cb352a201affdf822870903accabe7c990c,"Merge pull request #7145 from anntzer/update-api-doc

Add `style` to api doc; fix capitalization.",NelleV,09/21/2016 12:08:48 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/5f352cb352a201affdf822870903accabe7c990c,84152048
cf39ec2fb372121297acdbfb83785c6e7f54c2bd,"Add `style` to api doc; fix capitalization.

All other sections use a lowercase title.  Also mention `legend_handler`
in the title for the `legend` api doc as they are in the same file.",anntzer,09/20/2016 08:16:29 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/cf39ec2fb372121297acdbfb83785c6e7f54c2bd,84153342
9664046aa8158e92a8f77f341ca20572e27c09ab,Fix captions for plot directive in latex target,jarrodmillman,09/20/2016 06:11:34 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/9664046aa8158e92a8f77f341ca20572e27c09ab,84151913
f8b1a9af53e1ad47adcd6215e54e4f0b8259ee39,Cleanup of style.<>Transforms; catch nan warning.,anntzer,09/20/2016 05:32:28 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/f8b1a9af53e1ad47adcd6215e54e4f0b8259ee39,84151496
431be6602dfa543a4274e3bfc78db1122e12d005,"Merge pull request #7097 from Kojoley/refactor-image_comparison-decorator

TST: `image_comparison` decorator refactor",tacaswell,09/20/2016 02:01:22 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/431be6602dfa543a4274e3bfc78db1122e12d005,84151818
5ffd20d1ab695b3aece91ad9457a661c0909de85,"Merge pull request #7096 from NelleV/7083_doc_scatter_vs_plot

[MRG] DOC refer to plot in the scatter plot doc",efiring,09/20/2016 03:50:09 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/5ffd20d1ab695b3aece91ad9457a661c0909de85,83844511
684861b52e2d0895070c6f8d1cdac31247a9a6a4,"Merge pull request #7096 from NelleV/7083_doc_scatter_vs_plot

[MRG] DOC refer to plot in the scatter plot doc",efiring,09/20/2016 03:48:22 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/684861b52e2d0895070c6f8d1cdac31247a9a6a4,84153112
